p1,p2,p3
Audrey,Seymour,
Mickey,Minnie,
Barbie,Ken,
Salt,Pepper,
Romeo,Juliet,
Joe,Sally,
Sally,Jack,
Three,Blind,Mice
Harry,Ron,Hermione
Snap,Crackle,Pop
