Romeo,Juliet
Cowboy,Horse
Ponyboy,Cherry Valence
Zendaya,Tom
Ilya,Shane
Chocolate ,Strawberries
Red,Roses
Sabrina,Domingo
Valentines,Day
Cupid,Arrow
Sweet,Hearts
Harry,Sally
Sandy,Danny
Alexander,Eliza
Audrey,Seymour
Anya,Dimitri
Gatsby,Daisy
Nick,Charlie
Kira,Sonny
Burr,Theodosia
Tanka Jahari,Pizza
Rory,Jess
Ross,Rachel
Woody,Jessie
